Catalogue,Artist,Title,UKDP,Street_Date,label,UPCEAN,AlbumCLineYear,AlbumCLineInfo,AlbumPLineYear,AlbumPLineInfo,MediaType,genre,Ppoint,Notes,Artist_Sort,Active,Deleted,format,OriginalCountry,Territory,ExpiryDate,ID
KSCOPE2348,THE ANCHORESS,THE ART OF LOSING (360 ACOUSTIC EP),0,26/08/2022,Kscope,802644834870,2022,Catherine Anne Davies,2022,"Kscope, a division of Snapper Music Ltd",Digital,Rock/Pop,Digital,<p>SONY 360</p>,ANCHORESS,1,0,EP,GB,World,,5016
DIGIVILED297X,AUTOPSY,DARK CRUSADES,0,23/08/2010,Peaceville,801056429766,0,Peaceville Records Ltd,2006,Peaceville Records Ltd,Digital,Metal,Digital,,AUTOPSY,1,0,Album,GB,World,,5015
DIGIVILED654,AUTOPSY,CRITICAL MADNESS: THE DEMO YEARS,0,27/07/2018,Peaceville,801056465467,2018,Peaceville Records Ltd,2018,Peaceville Records Ltd,Digital,Metal,Digital,,AUTOPSY,1,0,Compilation,GB,World,,5014
DIGIVILES296,AUTOPSY,THE TOMB WITHIN,0,01/07/2010,Peaceville,801056429667,2010,Peaceville Records Ltd,2010,Peaceville Records Ltd,Digital,Metal,Digital,,AUTOPSY,1,0,EP,GB,World,,5013
SMADIGI1247V,JEFF COTTON,DOES IT WORK FOR YOU,0,28/07/2022,Madfish,636551824705,2022,Jeff Cotton,2022,Jeff Cotton under licence to Snapper Music Ltd,You Tube,Rock,Digital,<p>VIDEO</p>,,1,0,Video,GB,World,30/09/2025,5010
CDVILED1033,HELLRIPPER,COAGULATING DARKNESS,5.95,14/10/2022,Peaceville,801056703309,2017,Hellripper under exclusive licence to Peaceville Records Ltd,2017,Hellripper under exclusive licence to Peaceville Records Ltd,CD,Metal,Mid Price,"<p>NO DIGITAL</p>
<p>AT</p>",,1,0,Album,GB,World,,5008
KSCOPE742D,OZRIC TENTACLES,THE BITS BETWEEN THE BITS (2020 ED WYNNE REMASTER),0,28/01/2022,Kscope,802644474267,2022,Snapper Music Ltd,1989,Snapper Music Ltd,Digital,Rock,Digital,,OZRIC TENTACLES,1,0,Album,GB,World,,5007
KSCOPE741D,OZRIC TENTACLES,SLIDING GLIDING WORLDS (2020 ED WYNNE REMASTER),0,25/03/2022,Kscope,802644474168,2022,Snapper Music Ltd,1988,Snapper Music Ltd,Digital,Rock,Digital,,OZRIC TENTACLES,1,0,Album,GB,World,,5006
KSCOPE740D,OZRIC TENTACLES,THERE IS NOTHING (2020 ED WYNNE REMASTER),0,14/01/2022,Kscope,802644474069,2022,Snapper Music Ltd,1986,Snapper Music Ltd,Digital,Rock,Digital,,OZRIC TENTACLES,1,0,Album,GB,World,,5005
KSCOPE739D,OZRIC TENTACLES,LIVE ETHEREAL CEREAL (2020 ED WYNNE REMASTER),0,11/03/2022,Kscope,802644473963,2022,Snapper Music Ltd,1985,Snapper Music Ltd,Digital,Rock,Digital,,OZRIC TENTACLES,1,0,Album,GB,World,,5004
KSCOPE738D,OZRIC TENTACLES,TANTRIC OBSTACLES (2020 ED WYNNE REMASTER),0,25/02/2022,Kscope,802644473864,2022,Snapper Music Ltd,1985,Snapper Music Ltd,Digital,Rock,Digital,,OZRIC TENTACLES,1,0,Album,GB,World,,5003
KSCOPE737D,OZRIC TENTACLES,ERPSONGS (2020 ED WYNNE REMASTER),0,11/02/2022,Kscope,802644473765,2022,Snapper Music Ltd,1985,Snapper Music Ltd,Digital,Rock,Digital,,OZRIC TENTACLES,1,0,Album,GB,World,,5001
VILELP1032,AUTOPSY,MORBIDITY TRIUMPHANT (PURPLE VINYL),12.5,30/09/2022,Peaceville,801056803214,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,AUTOPSY,1,0,Album,GB,World,,5000
DIGIVILE1026YT,SIGH,SATSUI,0,10/08/2022,Peaceville,801056402684,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,You Tube,Metal,Digital,<p>VIDEO</p>,,1,0,Video,GB,World,,4999
VILELP1042,DARKTHRONE,THE WIND OF 666 BLACK HEARTS (VOLUME II),11.5,27/01/2023,Peaceville,801056804211,2023,Peaceville Records Ltd,2023,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,DARKTHRONE,1,0,Compilation,GB,World,,4998
VILELP1041,DARKTHRONE,THE WIND OF 666 BLACK HEARTS (VOLUME I),11.5,27/01/2023,Peaceville,801056804112,2023,Peaceville Records Ltd,2023,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,DARKTHRONE,1,0,Compilation,GB,World,,4997
DIGIVILE1031,AUTOPSY,KNIFE SLICE AXE CHOP,0,21/09/2022,Peaceville,801056803160,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,Digital,Metal,Digital,<p>SINGLE #2</p>,AUTOPSY,1,0,Single,GB,World,,4996
DIGIVILE1030,AUTOPSY,SKIN BY SKIN,0,18/08/2022,Peaceville,801056803061,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,Digital,Metal,Digital,<p>SINGLE #1</p>,AUTOPSY,1,0,Single,GB,World,,4995
KSCOPE2346TY,ENVY OF NONE,DUMB (DER DUMMKOPF REMIX),0,20/07/2022,Kscope,802644434681,2022,Envy of None,2022,Envy of None under licence to Snapper Music Ltd,You Tube,Rock,Digital,<p>VIDEO</p>,,1,0,Video,GB,World,,4994
VILEMC1027,HELLRIPPER,WARLOCKS GRIM & WITHERED HAGS,7.6,17/02/2023,Peaceville,801056802736,2023,Peaceville Records Ltd,2023,Peaceville Records Ltd,Cassette,Metal,Full Price,<p>UK</p>,,1,0,Album,GB,World,,4993
CDVILEF1027,HELLRIPPER,WARLOCKS GRIM & WITHERED HAGS,7.6,17/02/2023,Peaceville,801056802729,2023,Peaceville Records Ltd,2023,Peaceville Records Ltd,CD,Metal,Full Price,<p>AT</p>,,1,0,Album,AT,World,,4992
VILELP1029,HELLRIPPER,WARLOCKS GRIM & WITHERED HAGS (GREEN VINYL),12.5,17/02/2023,Peaceville,801056802910,2023,Peaceville Records Ltd,2023,Peaceville Records Ltd,LP,Metal,Full Price,"<p>DE</p>
<p>band and select accounts</p>",,1,0,Album,GB,World,,4991
VILELP1028,HELLRIPPER,WARLOCKS GRIM & WITHERED HAGS (GOLD VINYL),12.5,17/02/2023,Peaceville,801056802873,2023,Peaceville Records Ltd,2023,Peaceville Records Ltd,LP,Metal,Full Price,"<p>DE</p>
<p>peaceville stores and band&nbsp;</p>
<p>&nbsp;</p>",,1,0,Album,GB,World,,4989
VILELP1027,HELLRIPPER,WARLOCKS GRIM & WITHERED HAGS,11.5,17/02/2023,Peaceville,801056802774,2023,Peaceville Records Ltd,2023,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,,1,0,Album,GB,World,,4987
KSCOPE2337YT,ED WYNNE,INFINITY CURTAINS,0,18/07/2022,Kscope,802644433783,2022,"Kscope, a division of Snapper Music Ltd",2022,"Kscope, a division of Snapper Music Ltd",You Tube,Rock,Digital,<p>VIDEO</p>,,1,0,Video,GB,World,,4986
DIGIVILE1026,SIGH,SATSUI - GESHI NO ATO,0,10/08/2022,Peaceville,801056402660,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,Digital,Metal,Digital,<p>SINGLE #2</p>,,1,0,Single,GB,World,,4985
SMADIGI1258,THE PRETTY THINGS,"THE SWEET PRETTY THINGS (ARE IN BED NOW, OF COURSE...)",0,15/07/2015,Madfish,636551425865,2015,Snapper Music Ltd,2015,Snapper Music Ltd,Digital,Rock/Pop,Digital,,,1,0,Album,GB,World,,4983
SMADIGI1257,THE PRETTY THINGS,BALBOA ISLAND,0,01/05/2007,Madfish,636551425766,2007,Snapper Music Ltd,2007,Snapper Music Ltd,Digital,Rock/Pop,Digital,,,1,0,Album,GB,World,,4982
VILELP1024,MAYHEM,MEDIOLANUM CAPTA EST (non-USA),11.5,20/01/2023,Peaceville,801056802415,2023,Peaceville Records Ltd,1999,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,MAYHEM,1,0,Album,DE,World,,4981
VILELP1023,KATATONIA,DETHRONED & UNCROWNED,11.5,24/12/2027,Peaceville,801056802316,2013,Peaceville Records Ltd,2013,Peaceville Records Ltd,LP,Rock,Full Price,<p>DE</p>,KATATONIA,1,0,Album,GB,World,30/06/2045,4980
KSCOPE2347,O.R.K.,INFLAMED RIDES (REMASTERED),0,05/08/2022,Kscope,802644734767,2015,O.R.k.,2015,O.R.k. under exclusive licence to Kscope,Digital,Rock,Digital,,,1,0,Album,GB,World,,4979
VILELP1056,KATATONIA,JHVA ELOHIM METH,9.5,25/11/2022,Peaceville,801056805614,2019,Peaceville Records Ltd,1992,Peaceville Records Ltd,12``,Metal,Full Price,<p>DE</p>,,1,0,EP,GB,World,,4977
SMALP1255,W.A.S.P.,THE CRIMSON IDOL (2LP),17.5,15/11/2024,Madfish,636551825511,2023,Snapper Music Ltd,1992,Sanctuary Management Productions Ltd under exclusive licence to Snapper Music Ltd,2LP,Metal,Full Price,"<p>CZ</p>
<p><span>Half-speed master</span></p>",WASP,1,0,Album,CZ,World,,4974
SMALP1254,W.A.S.P.,THE HEADLESS CHILDREN (LP),11.5,08/08/2025,Madfish,636551825412,2023,Snapper Music Ltd,1989,Sanctuary Management Productions Ltd under exclusive licence to Snapper Music Ltd,LP,Metal,Full Price,"<p>CZ</p>
<p><span>Half-speed master</span></p>",WASP,1,0,Album,CZ,World,,4973
SMMCD641,NODENS ICTUS,SPACELINES,6.65,13/05/2002,Snapper Classics,636551564120,2000,Snapper Music Ltd,2000,Snapper Music Ltd,CD,Rock,Mid Price,,,0,1,Album,GB,World,,4966
VILELP1014,CANDLEMASS,DARK ARE THE VEILS OF DEATH - NIGHTFALL REHEARSALS & DEMOS (DARK GREEN LP),12.5,30/05/2025,Peaceville,801056801418,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,LP,Metal,Full Price,<p>PL</p>,,1,0,Album,PL,World,,4965
VILELP1013,CANDLEMASS,THE COMING OF NIGHTFALL - STUDIO OUTTAKES (TURQUOISE LP),12.5,04/04/2025,Peaceville,801056801319,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,LP,Metal,Full Price,<p>PL</p>,,1,0,Album,PL,World,,4963
VILELP1012,CANDLEMASS,NIGHTFALL (ORANGE LP),12.5,14/02/2025,Peaceville,801056801210,2022,Peaceville Records Ltd,1987,Peaceville Records Ltd,LP,Metal,Full Price,"<p>PL</p>
<p>2022 Remaster</p>",,1,0,Album,PL,World,,4962
KSCOPE768,NODENS ICTUS,SPACELINES,6.65,06/01/2023,Kscope,802644776828,2023,Snapper Music Ltd,2000,Snapper Music Ltd,CD,Rock,Mid Price,<p>AT</p>,,1,0,Album,GB,World,,4961
KSCOPE767,BLACKFIELD,OPEN MIND: THE BEST OF BLACKFIELD,5.95,16/09/2022,Kscope,802644876726,2018,Snapper Music Ltd,2018,"Kscope, a division of Snapper Music Ltd",CD,Rock/Pop,Full Price,"<p>AT</p>
<p>Barcode Stickered KSCOPE606 Overstock</p>",BLACKFIELD,1,0,Compilation,GB,World,,4959
SMADIGI1247,JEFF COTTON,DOES IT WORK FOR YOU,0,28/07/2022,Madfish,636551824767,2022,Jeff Cotton,2022,Jeff Cotton under licence to Snapper Music Ltd,Digital,Rock,Digital,<p>SINGLE #1</p>,,1,0,Single,GB,World,30/09/2025,4958
KSCOPE1108,JONATHAN HULTEN,THE FOREST SESSIONS,11.5,16/12/2022,Kscope,802644810812,2022,"Kscope, a division of Snapper Music Ltd",2022,"Kscope, a division of Snapper Music Ltd",LP,Folk,Full Price,<p>DE</p>,,1,0,Album,GB,World,,4957
KSCOPE765,ANATHEMA,THE BEST OF 2008-2018,5.95,16/09/2022,Kscope,802644876528,2018,Snapper Music Ltd,2018,"Kscope, a division of Snapper Music Ltd",CD,Rock,Full Price,"<p>DE</p>
<p><span>(Barcode stickered KSCOPE628 overstock)</span></p>",ANATHEMA,1,0,Compilation,GB,World,,4956
KSCOPE764,ANATHEMA,WE`RE HERE BECAUSE WE`RE HERE,6.65,04/11/2022,Kscope,802644776422,2010,Anathema,2010,Anathema under exclusive licence to Snapper Music Ltd,CD,Rock,Mid Price,<p>AT</p>,ANATHEMA,1,0,Album,GB,World,,4953
KSCOPE1107,ANATHEMA,WE`RE HERE BECAUSE WE`RE HERE,17.5,04/11/2022,Kscope,802644810713,2010,Anathema,2010,Anathema under exclusive licence to Snapper Music Ltd,2LP,Rock,Full Price,<p>DE</p>,ANATHEMA,1,0,Album,GB,World,,4951
KSCOPE732,TANGERINE DREAM,RECURRING DREAMS,6.65,07/10/2022,Kscope,802644773223,2020,Eastgate Music & Arts,2020,Eastgate Music & Arts under licence to Kscope,CD,Instrumental,Mid Price,<p>DE</p>,,1,0,Album,GB,World,,4950
SMABX1213PRO,HORSLIPS,MORE THAN YOU CAN CHEW SAMPLER,0,16/12/2022,Madfish,636551321327,2022,Snapper Music Ltd,2022,Crashed Music under licence to Snapper Music Ltd,CD,Rock,Promo,<p>AT</p>,,1,0,Compilation,GB,World,,4949
KSCOPE763,JONATHAN HULTEN,THE FOREST SESSIONS,8.84,16/12/2022,Kscope,802644876320,2022,"Kscope, a division of Snapper Music Ltd",2022,"Kscope, a division of Snapper Music Ltd",CD+DVD,Folk,Full Price,"<p>DE</p>
<p>FSK 6</p>",,1,0,Album,GB,World,,4948
VILELP1021,ACCIDENTAL SUICIDE,DECEASED,11.5,20/01/2023,Peaceville,801056802132,1992,Peaceville Records Ltd,1992,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,ACCIDENTAL SUICIDE,1,0,Album,GB,World,,4947
CDVILED1021,ACCIDENTAL SUICIDE,DECEASED,5.95,20/01/2023,Peaceville,801056702128,1992,Peaceville Records Ltd,1992,Peaceville Records Ltd,CD,Metal,Mid Price,<p>AT</p>,ACCIDENTAL SUICIDE,1,0,Album,GB,World,,4946
VILELP1020,ROTTING CHRIST,ABYSSIC BLACK METAL,11.5,25/11/2022,Peaceville,801056802033,2017,Athanasios Tolis,2017,Athanasios Tolis under exclusive licence to Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,ROTTING CHRIST,1,0,Album,GB,World,30/06/2021,4945
CDVILED1019,ULVER,THEMES FROM WILLIAM BLAKE`S THE MARRIAGE OF HEAVEN AND HELL,6.65,09/09/2022,Peaceville,801056801920,2021,Jester Records,1998,Jester Records under licence to Snapper Music Ltd,2CD,Rock,Full Price,"<p>AT</p>
<p>(Barcode stickered CDVILEF918 overstock)</p>",,1,0,Album,GB,World,,4944
VILELP1015,ANATHEMA,ETERNITY,11.5,14/10/2022,Peaceville,801056801517,2022,Peaceville Records Ltd,1996,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,ANATHEMA,1,0,Album,GB,World,,4943
DIGIVILEF654,AUTOPSY,MORBIDITY TRIUMPHANT,0,30/09/2022,Peaceville,801056865465,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,Digital,Metal,Digital,<p><span>DIGITAL&nbsp;</span></p>,AUTOPSY,1,0,Album,GB,World,,4942
SMADIGI1215,JEFF COTTON,THE FANTASY OF REALITY,0,12/08/2022,Madfish,636551800068,2022,Jeff Cotton,2022,Jeff Cotton under licence to Snapper Music Ltd,Digital,Rock,Full Price,,,1,0,Album,GB,World,30/09/2025,4941
KSCOPE2346,ENVY OF NONE,DUMB (DER DUMMKOPF REMIX),0,20/07/2022,Kscope,802644434674,2022,Envy of None,2022,Envy of None under licence to Snapper Music Ltd,Digital,Rock,Digital,,,1,0,Single,GB,World,,4940
VILELP1017,IMPALER,CHARNEL DEITY,11.5,03/02/2023,Peaceville,801056701718,1992,Peaceville Records Ltd,1992,Peaceville Records Ltd,LP,Metal,Mid Price,<p>DE</p>,IMPALER,1,0,Album,GB,World,,4939
CDVILED1017,IMPALER,CHARNEL DEITY,5.95,03/02/2023,Peaceville,801056701701,1992,Peaceville Records Ltd,1992,Peaceville Records Ltd,CD,Metal,Mid Price,<p>AT</p>,IMPALER,1,0,Album,GB,World,,4938
