Catalogue,Artist,Title,format,"No of Items","Slip case",Sticker,Package,Booklet,"Vinyl Weight","Vinyl RPMs","Vinyl Colour",mp3,Notes,Manufacturer,"Sticker Manufacturer",ID
CDVILED1285,"DEVIATED INSTINCT","GUTTURAL BREATH (CD)",CD,1,0,0,Jewel,4pp,,,,0,,VDC,,3654
CDVILED1279P,"VARIOUS ARTISTS","PEACEVILLE SAMPLER - VOLUME 25 (CD)",CD,1,0,0,Other,,,,,0,Wallet,OPTIMAL,,3655
VILELP1287,DARKTHRONE,"DARK THRONES & BLACK FLAGS (LP)",LP,1,0,0,Single,,,33,Black,0,,CSV,,3656
KSCOPE3043,TESSERACT,"POLARIS (CD)",CD,1,0,0,Digipack4,12pp,,,,0,,SP,,3657
VILELP1290,SIGH,"SCORN DEFEAT (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3658
CDVILED1290,SIGH,"SCORN DEFEAT (CD)",CD,1,0,0,Jewel,16pp,,,,0,,VDC,,3659
SMACDX1323,"PRETTY THINGS","PARACHUTE (CD)",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,3660
SMALP1324,"PRETTY THINGS","PARACHUTE (LP)",LP,1,0,0,Gatefold,,140,33,Black,0,,OPTIMAL,,3661
VILELP1291,MORK,"ISEBAKKE (ANNIVERSARY LP)",LP,1,0,0,Single,,140,33,,0,"Transparent Blue",TAKT,,3662
KSCOPE1266,TEXTURES,"GENOTYPE (LP)",LP,1,0,0,Gatefold,2pp,140,33,Black,0,,TAKT,,3663
KSCOPE1267,TEXTURES,"GENOTYPE (MARBLE LP)",LP,1,0,0,Gatefold,2pp,140,33,Marble,0,"Cystal Clear + White + Blue",TAKT,,3664
KSCOPE1268,TEXTURES,"GENOTYPE (SPLATTER LP)",LP,1,0,0,Gatefold,2pp,140,33,Splatter,0,"Coke Bottle Green + Yellow",TAKT,,3665
SMALP1322,W.A.S.P.,"INSIDE THE ELECTRIC CIRCUS (40TH ANNIVERSARY LP)",LP,1,0,0,Single,,180,33,,0,"Half-speed Transparent Blue + White Galaxy",CSV,,3666
SMACDX1327,"FLEETWOOD MAC","BOSTON VOLUME 1 (CD)",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,3667
VILELP1288,NOVEMBRE,"WORDS OF INDIGO (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3668
VILELP1289,NOVEMBRE,"WORDS OF INDIGO (CURACAO LP)",LP,1,0,0,Single,,140,33,,0,,OPTIMAL,,3669
