Catalogue,Artist,Title,format,"No of Items","Slip case",Sticker,Package,Booklet,"Vinyl Weight","Vinyl RPMs","Vinyl Colour",mp3,Notes,Manufacturer,"Sticker Manufacturer",ID
CHARLYJ750,"LIGHTNIN` HOPKINS","FREE FORM PATTERNS",3CD,3,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1043
CHARLYL117,GONG,"CAMEMBERT ELECTRIQUE",LP,1,0,1,Gatefold,2pp,180,33,Black,0,"2 x 2pp Books",OPTIMAL,OPTIMAL,1044
CHARLY915B,"VEE JAY RECORDS","CHICAGO HIT FACTORY THE VEE JAY STORY 1958-1966",CDBox,10,0,0,BoxSet,40pp,,,,0,"6 Sleevepacs In 2 Piece Box With Book",OPTIMAL,,1045
CHARLYL131,"THE METERS","HERE COMES THE METER MAN",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1046
CHARLYL146,"LIGHTNIN` ROD","HUSTLER`S CONVENTION",LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1050
CHARLYL145,"THE LAST POETS","THE LAST POETS",LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1051
CHARLYL147,"CRAZY CAVAN","LIVE AT PICKETTS LOCK 1 & 2",10``x2,2,0,1,Gatefold,,100,33,Black,0,,OPTIMAL,OPTIMAL,1054
CHARLYL139,"TOWNES VAN ZANDT","FOR THE SAKE OF THE SONG",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1056
CHARLYL141,FUNKADELIC,"THE ELECTRIC SPANKING OF WAR BABIES",LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1057
CHARLYL142,"THE RED CRAYOLA","THE PARABLE OF ARABLE LAND",2LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1060
CHARLYL136,"13TH FLOOR ELEVATORS","LIVE EVOLUTION LOST",3LP,1,0,1,BoxSet,12pp,180,33,,0,"Green, Blue & Red Vinyl. F Side Screen Print. 12pp Poster.",OPTIMAL,OPTIMAL,1062
CHARLY120L,"LIGHTNIN` HOPKINS","FREE FORM PATTERNS",LP,1,0,1,Single,,180,33,,0,,OPTIMAL,OPTIMAL,1063
CHARLYL132,FUNKADELIC,"ONE NATION UNDER A GROOVE",LP+7``,2,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1064
CHARLYL124,"TOWNES VAN ZANDT","TOWNES VAN ZANDT",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1067
CHARLYL123,"THE SHANGRI-LAS","LEADER OF THE PACK",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1068
CHARLYL130,"THE METERS","LOOK-KA PY PY",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1069
CHARLYL128,"CURTIS MAYFIELD","SUPERFLY (ENHANCED)",2LP+CD,3,0,1,Gatefold,,180,33,Black,0,"2lp + Cd (In Wallet)",OPTIMAL,OPTIMAL,1070
CHARLYL126,"SMALL FACES","GREATEST HITS - THE IMMEDIATE YEARS 1967 - 1969",LP,1,0,1,Single,,180,33,"Dark Blue",0,,OPTIMAL,OPTIMAL,1072
CHARLYL122,"MACEO AND ALL THE KING`S MEN","DOING THEIR OWN THING",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1075
KSCOPE852,"THE PINEAPPLE THIEF","TIGHTLY UNWOUND",2LP,2,0,1,Gatefold,,180,33,Orange,0,,OPTIMAL,OPTIMAL,1076
KSCOPE858,"STEVEN WILSON","COVER VERSION",2LP,2,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1078
KSCOPE857,"NORTH ATLANTIC OSCILLATION","THE THIRD DAY",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1079
KSCOPE856,"SE DELAN","THE FALL",2LP,2,0,1,Gatefold,,180,33,Black,0,"D Side Screen Print",OPTIMAL,OPTIMAL,1080
KSCOPE855,GAZPACHO,DEMON,LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1081
KSCOPE854,"THE PINEAPPLE THIEF",MAGNOLIA,2LP,2,0,1,Gatefold,4pp,180,33,Black,0,,OPTIMAL,OPTIMAL,1082
KSCOPE282,"THE PINEAPPLE THIEF",MAGNOLIA,2CD,1,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1083
KSCOPE283,"THE PINEAPPLE THIEF",MAGNOLIA,CD,1,1,1,Jewel,16pp,,,,0,,OPTIMAL,OPTIMAL,1084
KSCOPE284,GAZPACHO,DEMON,CD,1,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1085
KSCOPE285,GAZPACHO,DEMON,CD,1,1,1,Jewel,24pp,,,,0,,OPTIMAL,OPTIMAL,1086
KSCOPE286,"SE DELAN","THE FALL",CD,1,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1087
KSCOPE287,"NORTH ATLANTIC OSCILLATION","THE THIRD DAY",CD,1,0,1,SleevePac,16pp,,,,0,,OPTIMAL,OPTIMAL,1088
CDVILEF427,THINE,"THE DEAD CITY BLUEPRINT",CD,1,1,1,Jewel,16pp,,,,0,,OPTIMAL,OPTIMAL,1090
CDVILEF485,"DHG (DODHEIMSGARD)","A UMBRA OMEGA",CD,1,0,1,Digipack4,16pp,,,,0,,OPTIMAL,OPTIMAL,1092
VILELP485,"DHG (DODHEIMSGARD)","A UMBRA OMEGA",2LP,2,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1093
CDVILEDX494,"THE GATHERING",ALWAYS...,2CD,2,1,1,Brilliant,12pp,,,,0,,OPTIMAL,OPTIMAL,1094
VILELP484,KATATONIA,"VIVA EMPTINESS (2LP)",2LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1095
CDVILEF493,"MY DYING BRIDE","FEEL THE MISERY",CD,1,0,1,Digipack4,16pp,,,,0,,OPTIMAL,OPTIMAL,1096
VILELP493,"MY DYING BRIDE","FEEL THE MISERY",2LP,2,0,1,Gatefold,4pp,180,33,Black,0,,OPTIMAL,OPTIMAL,1098
KSCOPE280,"PORCUPINE TREE","OCTANE TWISTED (JAPANESE VERSION)",2CD+DVD,2,1,0,Jewel,16pp,,,,0,"Brilliant Box (2CD) + Slimline Jewel (DVD) In Slipcase",OPTIMAL,,1099
VILELP494,"THE GATHERING",ALWAYS...,LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1100
VILELP495,"THORNS VS EMPEROR","THORNS VS EMPEROR",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1101
VILELP496,"AT THE GATES","TERMINAL SPIRIT DISEASE",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,"ANGLIA (stickers)",1102
VILELP502,"PARADISE LOST","LOST PARADISE",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,"ANGLIA (stickers)",1104
VILELP499,"KEEP OF KALESSIN","THROUGH TIMES OF WAR",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1105
KSCOPE853,GAZPACHO,"TICK TOCK",2LP,2,0,1,Gatefold,,180,33,Black,0,"D Side Screen Print",OPTIMAL,OPTIMAL,1106
VILELP498,"KEEP OF KALESSIN","AGNEN : A JOURNEY THROUGH THE DARK",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,"ANGLIA (stickers)",1107
VILELP497,SHINING,"SHINING - III: ANGST",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,"ANGLIA (stickers)",1108
VILELP501,DOOM,"TOTAL DOOM",2LP,1,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,1109
SMABX1009,"OZRIC TENTACLES","VITAMIN ENHANCED",6CD,6,1,0,BoxSet,40pp,,,,0,"6cds In Sleevepacs",CSV,,1110
KSCOPE290,ANATHEMA,UNIVERSAL,CD+DVD,2,1,1,Brilliant,16pp,,,,0,,OPTIMAL,OPTIMAL,1111
SMALP1011C,"FLEETWOOD MAC","BOSTON VOLUME 3",2LP,2,0,1,Gatefold,2pp,180,33,Black,0,,OPTIMAL,OPTIMAL,1112
SMALP1010B,"FLEETWOOD MAC","BOSTON VOLUME 2",2LP,2,0,1,Gatefold,2pp,180,33,Black,0,,OPTIMAL,OPTIMAL,1113
SMALP964,"PRETTY THINGS",PARACHUTE,LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1114
SMALP1012,"THE PRETTY THINGS",EMOTIONS,LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1115
SMALP1013,"THE PRETTY THINGS","GET THE PICTURE?",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1117
SMALP1014,"THE PRETTY THINGS","THE PRETTY THINGS",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1118
SMALP1015,"OZRIC TENTACLES","TECHNICIANS OF THE SACRED",2LP,2,0,1,Gatefold,,180,33,Black,0,"MP3 Download",OPTIMAL,OPTIMAL,1119
SMACD1015,"OZRIC TENTACLES","TECHNICIANS OF THE SACRED",2CD,2,0,1,"Digipack other",,,,,0,"8 panel digipak",OPTIMAL,OPTIMAL,1120
SMACD1016,"FLEETWOOD MAC",BOSTON,3CD,1,0,1,Clambox,24pp,,,,0,,"CHINA TRADING","CHINA TRADING",1121
SMALP1017,"THE ENID","IN THE REGION OF THE SUMMER STARS",LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1122
SMALP1018,"THE ENID","AERIE FAERIE NONSENSE",LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1123
SMALP1019,"THE ENID",INVICTA,2LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1124
SMAV1021,"OZRIC TENTACLES",SPLOOSH!,12``,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1125
KSCOPE519,"IAN ANDERSON","HOMO ERRATICUS","2CD+2DVD-V Ear Book",4,0,0,"Ear book",Other,,,,0,"2cd+2dvd-v 60pp Bk",OPTIMAL,,1126
KSCOPE860,"IAN ANDERSON","HOMO ERRATICUS",2LP,2,0,1,Gatefold,8pp,180,33,Black,0,N,OPTIMAL,OPTIMAL,1127
KSCOPE291,"IAN ANDERSON","HOMO ERRATICUS",CD+DVD,2,0,1,"Media book",Other,,,,0,"32pp Book",TAKT,TAKT,1128
KSCOPE292,"IAN ANDERSON","HOMO ERRATICUS",CD,1,1,1,Jewel,24pp,,,,0,,VDC,VDC,1129
SMAV1022,MARILLION,"YOU`RE GONE","12`` Picture Disc",1,0,1,Single,,180,33,"Picture Disc",0,,OPTIMAL,OPTIMAL,1130
KSCOPE859,ANATHEMA,HINDSIGHT,2LP,2,0,1,Gatefold,,180,33,Black,0,"D Side Screen Print",OPTIMAL,OPTIMAL,1131
VILES504,KATATONIA,KOCYTEAN,12``,1,0,1,Single,,180,33,Orange,0,"1k Orange 1k Black",OPTIMAL,OPTIMAL,1132
CHARLYS151,"NINA SIMONE","MY BABY JUST CARES FOR ME",7``,1,0,1,Single,,40,45,Black,0,,OPTIMAL,OPTIMAL,1133
CHARLYS152,"HANK MIZELL","JUNGLE ROCK",7``,1,0,1,Single,,40,45,Black,0,,OPTIMAL,OPTIMAL,1134
CHARLYS153,"SUN RECORDS","FLYIN` SAUCERS ROCK `N` ROLL",7``,1,0,1,Single,,40,33,Black,0,,OPTIMAL,OPTIMAL,1135
KSCOPE295,ENGINEERS,"ALWAYS RETURNING",2CD,2,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1136
KSCOPE296,ENGINEERS,"ALWAYS RETURNING",CD,1,1,1,Jewel,16pp,,,,0,,OPTIMAL,OPTIMAL,1137
KSCOPE297,"STEVE HOGARTH & RICHARD BARBIERI","ARC LIGHT",CD,1,0,1,SleevePac,8pp,,,,0,,OPTIMAL,OPTIMAL,1138
SMACD1023,GONG,"I SEE YOU",CD,1,0,1,"Media book",Other,,,,0,"28pp Book",TAKT,TAKT,1139
SMALP1024,GONG,"I SEE YOU",2LP,2,0,1,Gatefold,,180,33,Black,0,"MP3 Download | D side screen print",OPTIMAL,OPTIMAL,1141
SMACD995,FAMILY,FEARLESS,2CD,2,0,1,"Media book",16pp,,,,0,,"CHINA TRADING","CHINA TRADING",1142
SMACD1025,FAMILY,ANYWAY,2CD,2,0,1,"Media book",16pp,,,,0,,"CHINA TRADING","CHINA TRADING",1143
SMACD1026,"ROGER CHAPMAN",CHAPPO,2CD,2,0,1,"Media book",16pp,,,,0,,"CHINA TRADING","CHINA TRADING",1144
SMACD1027,"ROGER CHAPMAN AND THE SHORTLIST","LIVE IN HAMBURG",2CD,2,0,1,"Media book",16pp,,,,0,,"CHINA TRADING","CHINA TRADING",1145
KSCOPE293,"THE PINEAPPLE THIEF","ABDUCTED AT BIRTH",CD,1,0,1,Digipack4,4pp,,,,0,,SP,SP,1146
VILELP505,"VITAL REMAINS","INTO COLD DARKNESS",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1147
VILELP506,"VITAL REMAINS","LET US PRAY",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1148
KSCOPE861,ULVER,"MESSE I.X-VI.X","LP Picture Disc",1,0,1,Single,,180,33,"Picture Disc",0,,OPTIMAL,OPTIMAL,1149
KSCOPE862,ANATHEMA,"UNTOUCHABLE EP","12`` Picture Disc",1,0,1,Single,,180,33,"Picture Disc",0,,OPTIMAL,OPTIMAL,1150
KSCOPE299,"LUNATIC SOUL","WALKING ON A FLASHLIGHT BEAM",CD+DVD,2,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1151
KSCOPE300,"LUNATIC SOUL","WALKING ON A FLASHLIGHT BEAM",CD,1,1,1,Jewel,16pp,,,,0,,OPTIMAL,OPTIMAL,1153
KSCOPE863,"LUNATIC SOUL","WALKING ON A FLASHLIGHT BEAM",2LP,2,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1154
VILELP390,DARKTHRONE,"SARDONIC WRATH",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1155
CDVILEDX390,DARKTHRONE,"SARDONIC WRATH",2CD,2,1,1,Brilliant,12pp,,,,0,,OPTIMAL,OPTIMAL,1156
CHARLYQ682,"CHARLY RECORDS","40 YEARS - VOLUME 1, CLASSIC HITS",CD,1,0,1,SleevePac,,,,,0,,OPTIMAL,OPTIMAL,1157
SMALP1028,"JOHN MARTYN","SOLID AIR: CLASSICS REVISITED",LP,1,0,1,Single,2pp,180,33,Black,0,,OPTIMAL,OPTIMAL,1158
CDVILEDX508,BLOODBATH,"BLOODBATH OVER BLOODSTOCK",CD+DVD,2,0,1,"Media book",16pp,,,,0,,"CHINA TRADING","CHINA TRADING",1159
SMALP979,"OZRIC TENTACLES","PAPER MONKEYS",2LP,2,0,0,Gatefold,,180,33,,0,,OPTIMAL,,1160
SMALP998,W.A.S.P.,"THE STING",2LP,2,0,1,Gatefold,,180,33,Green,0,,OPTIMAL,OPTIMAL,1161
VILELP500,ANATHEMA,CRESTFALLEN,LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1162
VILELP503,MAYHEM,"MEDIOLANUM CAPTA EST (non-USA)",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,1163
KSCOPE298,NO-MAN,"TOGETHER WE`RE STRANGER",CD,1,0,1,SleevePac,,,,,0,,OPTIMAL,OPTIMAL,1164
CHARLYL154,"AARON NEVILLE","HERCULES - THE MINIT & SANSU SESSIONS 1960-1976",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1165
CHARLYL155,"LEE DORSEY","SOUL MINE - THE GREATEST HITS",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1166
CHARLYL156,FUNKADELIC,"HARDCORE JOLLIES",LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1167
CHARLYL157,"TOWNES VAN ZANDT","OUR MOTHER THE MOUNTAIN",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1168
CDVILEDH509,"MY DYING BRIDE","THE VAULTED SHADOWS",CD,1,1,1,Jewel,8pp,,,,0,,OPTIMAL,OPTIMAL,1170
KSCOPE301,ANATHEMA,"DISTANT SATELLITES",CD+DVD,2,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1171
KSCOPE302,ANATHEMA,"DISTANT SATELLITES",CD,1,1,1,Jewel,16pp,,,,0,,VDC,VDC,1172
KSCOPE866,ANATHEMA,"DISTANT SATELLITES",2LP,2,0,1,Gatefold,8pp,180,33,Black,0,,OPTIMAL,OPTIMAL,1173
KSCOPE867,"PORCUPINE TREE","FEAR OF A BLANK PLANET",2LP,2,0,1,Gatefold,,180,33,Blue,0,,OPTIMAL,OPTIMAL,1174
KSCOPE521,ANATHEMA,"DISTANT SATELLITES",MixBoxSet,3,1,0,"Ear book",Other,,,,0,"44 Page Hardback Book In Rigid Slipcase. Cd + 2 X Dvd-v",TAKT,TAKT,1175
SMABX1029,"THE PRETTY THINGS","BOUQUETS FROM A CLOUDY SKY - 50TH ANNIVERSARY BOX SET",MixBoxSet,16,0,0,BoxSet,Other,100,33,Black,0,"13 x CD, 2 x DVD, 1 x 10inch. 100pp Book, 2 x Poster, Art Print, Legal Docs.",CSV,,1176
CDVILEFX510,KATATONIA,"LAST FAIR DAY GONE NIGHT",2CD+2DVD-V,4,0,1,"Media book",20pp,,,,0,,TAKT,TAKT,1178
CHARLYBX170,"SMALL FACES","HERE COME THE NICE (BOX SET - NO CERTIFICATE)",MixBoxSet,8,0,1,BoxSet,Other,,45,Black,0,,CSV,CSV,1179
KSCOPE703,ANATHEMA,"THE LOST SONG (PART 3)",7``,1,0,0,Single,,40,45,Black,0,,OPTIMAL,,1181
SMACD1031,GONG,"HIGH ABOVE THE SUBTERRANEA CLUB, 2000",CD+DVD,2,0,1,Digipack6,12pp,,,,0,,"CHINA TRADING","CHINA TRADING",1182
KSCOPE294,"STEVEN WILSON","COVER VERSION",CD,1,0,1,SleevePac,12pp,,,,0,,OPTIMAL,OPTIMAL,1184
VILELP511,BEHEMOTH,"THE APOSTASY",2LP,1,0,1,Gatefold,8pp,180,33,Clear,0,,OPTIMAL,OPTIMAL,1185
CDVILEDX511,BEHEMOTH,"THE APOSTASY",CD+DVD,2,0,1,Digipack6,36pp,,,,0,,SP,SP,1186
VILELP515,"MY DYING BRIDE","34.788% COMPLETE",2LP,2,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1188
VILELP516,"MY DYING BRIDE","THE LIGHT AT THE END OF THE WORLD",2LP,2,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1189
VILELP517,"MY DYING BRIDE","THE DREADFUL HOURS",2LP,2,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1190
CHARLYL164,FUNKADELIC,"UNCLE JAM WANTS YOU",LP,1,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1191
CHARLYX683,FUNKADELIC,"UNCLE JAM WANTS YOU",CD,1,0,1,"Media book",16pp,,,,0,,TAKT,TAKT,1192
CHARLYL161,"THE BOLLOCK BROTHERS","NEVER MIND THE BOLLOCKS",LP,1,0,1,Single,,180,33,Pink,0,,OPTIMAL,OPTIMAL,1196
VILELP416,DODHEIMSGARD,"SATANIC ART",12``,1,0,0,Single,,180,33,Black,0,,TAKT,,1197
VILELP520,CANDLEMASS,"CHAPTER VI",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1199
VILELP521,CANDLEMASS,"DACTYLIS GLOMERATA",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1200
VILELP522,CANDLEMASS,"FROM THE 13TH SUN",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,1201
VILELP523,"DIABOLICAL MASQUERADE","RAVENDUSK IN MY HEART",LP,1,0,0,Single,,180,33,Red,0,,TAKT,,1202
VILELP524,"DIABOLICAL MASQUERADE","THE PHANTOM LODGE",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1203
VILELP527,THERGOTHON,"STREAM FROM THE HEAVENS",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1204
VILELP529,"ELECTRO HIPPIES","THE ONLY GOOD PUNK IS A DEAD ONE",LP,1,0,0,Single,,180,33,Black,0,,TAKT,TAKT,1205
VILELP535,LID,"IN THE MUSHROOM",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1206
VILELP518,"MY DYING BRIDE","SONGS OF DARKNESS, WORDS OF LIGHT",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,1207
VILELP519,"MY DYING BRIDE","A LINE OF DEATHLESS KINGS",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,1208
VILELP525,"DIABOLICAL MASQUERADE",NIGHTWORK,LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1209
VILELP530,EVOKEN,"QUIETUS (non-USA)",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,1211
VILELP532,"NAPALM DEATH","ORDER OF THE LEECH",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1212
VILELP534,"OCTOBER TIDE","GREY DAWN",LP+CD,1,0,0,Single,,140,33,Black,0,"LP + CD [in 5`` wallet]",OPTIMAL,OPTIMAL,1213
VILELP538,AXEGRINDER,"RISE OF THE SERPENT MEN",LP,1,0,0,Single,,180,33,Black,0,,TAKT,TAKT,1214
VILELP539,AKERCOCKE,"THE GOAT OF MENDES",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,,1215
VILELP507,MYSTICUM,"PLANET SATAN",LP,1,0,1,Single,,180,33,Black,0,"Poster - previously was a gatefold",OPTIMAL,OPTIMAL,1218
CDVILEF507,MYSTICUM,"PLANET SATAN",CD,1,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1220
KSCOPE304,"STEVE HOGARTH & RICHARD BARBIERI","ARC LIGHT",CD,1,0,1,Jewel,8pp,,,,0,,OPTIMAL,OPTIMAL,1221
KSCOPE305,IAMTHEMORNING,BELIGHTED,CD,1,0,1,Digipack4,12pp,,,,0,,OPTIMAL,OPTIMAL,1222
CDVILEF544,"WHITE EMPRESS","RISE OF THE EMPRESS",CD,1,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1223
CDVILEF545,"WHITE EMPRESS","RISE OF THE EMPRESS",CD,1,1,1,Jewel,16pp,,,,0,,VDC,VDC,1224
VILELP545,"WHITE EMPRESS","RISE OF THE EMPRESS",LP,1,0,1,Single,4pp,180,33,Black,0,"MP3 Download",OPTIMAL,OPTIMAL,1226
CDVILEF546,BLOODBATH,"GRAND MORBID FUNERAL",CD,1,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1227
VILELP547,BLOODBATH,"GRAND MORBID FUNERAL",LP,1,0,1,Gatefold,4pp,180,33,Black,0,"MP3 Download | 500 Red Vinyl for Band & Edel only",OPTIMAL,OPTIMAL,1229
CDVILEF550,KHOLD,"TIL ENDES",CD,1,1,1,Jewel,16pp,,,,0,,OPTIMAL,OPTIMAL,1232
VILELP550,KHOLD,"TIL ENDES",LP,1,0,1,Gatefold,,180,33,Black,0,"MP3 Download",OPTIMAL,OPTIMAL,1233
VILELP543,DARKTHRONE,"TOO OLD TOO COLD",12``,1,0,0,Single,2pp,180,45,Black,0,,OPTIMAL,OPTIMAL,1237
KSCOPE306,GAZPACHO,"NIGHT OF THE DEMON",CD+DVD,2,0,1,Digipack6,16pp,,,,0,,SP,SP,1238
KSCOPE704,ENGINEERS,"A MILLION VOICES",7``,1,0,0,Single,,40,45,Black,0,,OPTIMAL,,1241
KSCOPE868,ENGINEERS,"ALWAYS RETURNING",LP,1,0,1,Single,,180,33,Black,0,"MP3 Download",OPTIMAL,OPTIMAL,1246
SMALP984,PENDRAGON,"NOT OF THIS WORLD",2LP,2,0,1,Gatefold,,180,33,Magenta,0,,OPTIMAL,OPTIMAL,1247
SMALP983,PENDRAGON,"THE WINDOW OF LIFE",2LP,2,0,1,Gatefold,,180,33,Blue,0,,OPTIMAL,OPTIMAL,1248
CHARLYX685,FUNKADELIC,"HARDCORE JOLLIES",CD,1,0,1,"Media book",16pp,,,,0,,TAKT,TAKT,1249
SMALP818,W.A.S.P.,HELLDORADO,LP,1,0,1,Single,,180,33,Scarlet,0,,OPTIMAL,OPTIMAL,1250
SMDCD911,GAZPACHO,"INTRODUCING GAZPACHO",2CD,2,0,1,Brilliant,8pp,,,,0,,OPTIMAL,OPTIMAL,1251
SMDCD912,NOSOUND,"INTRODUCING NOSOUND",2CD,2,0,1,Brilliant,12pp,,,,0,,OPTIMAL,OPTIMAL,1252
VILELP555,"THE BLOOD DIVINE",AWAKEN,LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,,1253
KSCOPE307,"IAN ANDERSON","HOMO ERRATICUS (TOUR EDITION)",CD+DVD,2,0,1,Digipack6,24pp,,,,0,"Digisleeve (Half Digipak/half Sleeve Pac)",OPTIMAL,OPTIMAL,1254
DVDVILE19,PENTAGRAM,"ALL YOUR SINS - VIDEO VAULT",2DVD,2,0,1,Digipack6,,,,,0,,SP,SP,1256
SFILMBX020,"CLASSIC SOUNDTRACKS VOLUME 1","SINGIN` IN THE RAIN / THE WIZARD OF OZ / SEVEN BRIDES FOR SEVEN BROTHERS",3CD,3,1,0,Jewel,,,,,0,,SP,,1257
KSCOPE312,"PINK FLOYD","LONDON 1966/1967",CD+DVD,2,0,0,Digipack6,,,,,0,,SP,,1258
CDVILEDX549,DARKTHRONE,"TRANSILVANIAN HUNGER (20th Anniversary Edition)",2CD,2,0,1,"Media book",24pp,,,,0,,TAKT,TAKT,1260
CHARLYL168,"BIG BROTHER & THE HOLDING COMPANY","BALL & CHAIN",2LP,12,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1261
KSCOPE313,"NORDIC GIANTS","BUILD SEAS, DISMANTLE SUNS",2CD,1,0,1,SleevePac,,,,,0,,OPTIMAL,OPTIMAL,1262
KSCOPE869,"NORDIC GIANTS","BUILD SEAS, DISMANTLE SUNS",LP,1,0,1,Gatefold,,180,33,Clear,0,,OPTIMAL,OPTIMAL,1263
CHARLYL167,"JEFFERSON AIRPLANE","AT GOLDEN GATE PARK",2LP,2,0,1,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1264
CHARLYL166,"CURTIS MAYFIELD","THERE`S NO PLACE LIKE AMERICA TODAY",LP,1,0,1,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1265
SMALP1035,PENDRAGON,"MEN WHO CLIMB MOUNTAINS",2LP,2,0,1,Single,8pp,180,33,Black,0,"previously was a gatefold",OPTIMAL,OPTIMAL,1266
VILELP556,OLD,"DOWN WITH THE NAILS",LP,1,0,0,Single,,180,33,Black,0,,OPTIMAL,OPTIMAL,1267
KSCOPE870,"THE PINEAPPLE THIEF","LITTLE MAN",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1268
KSCOPE871,"THE PINEAPPLE THIEF","10 STORIES DOWN",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1269
KSCOPE872,"THE PINEAPPLE THIEF","VARIATIONS ON A DREAM",2LP,2,0,0,Gatefold,,180,33,Black,0,,OPTIMAL,OPTIMAL,1270
